日期,时间段,充电量_kWh,放电量_kWh,日初储电量_kWh,日末储电量_kWh
2025-03-20,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-03-20,4:00-8:00,0.0,6154.484603595134,10800.0,10800.0
2025-03-20,8:00-12:00,3970.5802654503814,2485.515396404866,10800.0,10800.0
2025-03-20,12:00-16:00,6708.75435866634,328.09295333333296,10800.0,10800.0
2025-03-20,16:00-20:00,43.555747601719304,5094.616708076061,10800.0,10800.0
2025-03-20,20:00-24:00,10253.900178914359,2928.4906846031745,10800.0,10800.0
2025-06-21,0:00-4:00,0.0,2944.2207999274297,10800.0,10800.0
2025-06-21,4:00-8:00,191.06719446924455,5150.110054052585,10800.0,10800.0
2025-06-21,8:00-12:00,8517.342937641224,0.0,10800.0,10800.0
2025-06-21,12:00-16:00,1293.9530728673865,7.583342052048124,10800.0,10800.0
2025-06-21,16:00-20:00,0.0,5541.120269014213,10800.0,10800.0
2025-06-21,20:00-24:00,9909.900805367339,2485.8993833333334,10800.0,10800.0
2025-09-23,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-09-23,4:00-8:00,0.0,6591.7580935786555,10800.0,10800.0
2025-09-23,8:00-12:00,5624.0944054664105,2048.241906421343,10800.0,10800.0
2025-09-23,12:00-16:00,5445.490810889201,388.7923547619049,10800.0,10800.0
2025-09-23,16:00-20:00,0.0,5602.909066666667,10800.0,10800.0
2025-09-23,20:00-24:00,10391.994929844534,2752.1784969935497,10800.0,10800.0
2025-12-21,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-12-21,4:00-8:00,833.3333333333333,1508.3333333333333,10800.0,10800.0
2025-12-21,8:00-12:00,5218.330510819034,7703.9830338095235,10800.0,10800.0
2025-12-21,12:00-16:00,7534.08786108448,1792.1425140989927,10800.0,10800.0
2025-12-21,16:00-20:00,0.0,5434.508149533989,10800.0,10800.0
2025-12-21,20:00-24:00,10218.560390371178,2842.5257666666666,10800.0,10800.0
