日期,时段,实际结算电价_元每kWh,负荷_kW,光伏实际_kW,原计划合同_p_kWh,最终合同_q_kWh,实际购电_kWh,应急购电_u_kWh,充电量_kWh,放电量_kWh,槽末储电量_kWh,合同调整量_kWh
2025-03-20,10:00-10:10,0.948,6577.9956,6675.2481,0.0,0.0,0.0,0.0,16.20875000000001,0.0,1214.5878750000002,0.0
2025-03-20,12:00-12:10,0.4519,5958.8116,8082.9395,549.7070480158729,549.7070480158729,476.57267896825374,0.0,830.5939956349205,0.0,5521.056834976772,0.0
2025-03-20,14:00-14:10,0.9351,6283.4823,6453.6137,0.0,0.0,0.0,0.0,28.355233333333217,0.0,8658.767482212159,0.0
2025-03-20,16:00-16:10,0.8767,6153.3743,2779.805,652.5934833165843,605.8172976017174,605.8172976017174,0.0,43.55574760171726,0.0,10486.05360862067,-46.77618571486687
2025-03-20,18:00-18:10,1.2993,4187.9837,0.0,718.2056256349207,718.2056256349207,697.9972833333333,0.0,0.0,0.0,10069.21314415859,0.0
2025-03-20,20:00-20:10,1.2789,4586.0191,0.0,0.0,0.0,0.21284103174605207,0.21284103174605207,0.0,764.1236756349207,3094.8802179012355,0.0
2025-06-21,10:00-10:10,0.6702,3826.1041,6589.8893,0.0,0.0,0.0,0.0,424.1164076304915,0.0,5032.946750906494,0.0
2025-06-21,12:00-12:10,0.2473,3735.5415,8044.2631,0.0,0.0,0.0,0.0,0.0,0.0,9196.305435659226,0.0
2025-06-21,14:00-14:10,0.7993,4047.8905,5941.7978,0.0,0.0,0.0,0.0,0.0,0.0,10357.859855895831,0.0
2025-06-21,16:00-16:10,0.5744,4034.2858,3562.8565,203.53046744887342,163.72510189331797,78.57155,0.0,0.0,-0.0,10800.0,-39.805365555555454
2025-06-21,18:00-18:10,1.1314,3274.4828,860.3286,491.9353540658075,488.31419360072704,399.92988628095134,0.0,0.0,2.4291470523820067,10797.300947719576,-3.621160465080436
2025-06-21,20:00-20:10,1.1611,3348.2366,0.0,0.0,0.0,0.0,0.0,0.0,558.0394333333334,4043.2819049955997,0.0
2025-09-23,10:00-10:10,0.9839,6527.0912,6506.7574,0.0,0.0,1.1903724560754654,1.1903724560754654,0.0,2.1985942105911818,1207.7907377284725,0.0
2025-09-23,12:00-12:10,0.3481,5815.5593,8690.3915,362.9514988100515,362.95149881005136,312.0360234126981,0.0,791.174723412698,0.0,6972.036799687478,-1.1368683772161603e-13
2025-09-23,14:00-14:10,0.9422,6298.6605,6838.0168,0.0,0.0,0.0,0.0,89.89271666666673,0.0,10703.539369429047,0.0
2025-09-23,16:00-16:10,0.9325,6704.9712,3168.3753,609.392960162972,565.3529288931309,589.4326499999999,24.079721106868988,0.0,0.0,10730.635189429047,-44.040031269841165
2025-09-23,18:00-18:10,1.3273,4585.9791,0.0,0.0,62.428329513856625,43.318087767296674,0.0,0.0,721.0117622327032,9929.511009170488,62.428329513856625
2025-09-23,20:00-20:10,1.2687,4963.0687,0.0,0.0,0.0,23.61788492063488,23.61788492063488,0.0,803.5602317460317,2795.631085008231,0.0
2025-12-21,10:00-10:10,1.4027,6873.3728,4886.2111,0.0,0.0,0.0,0.0,0.0,368.9126927360526,1648.2639271035505,0.0
2025-12-21,12:00-12:10,0.6936,6501.863,5904.8948,979.2988148534243,945.7012851708845,932.8280333333332,0.0,833.3333333333333,0.0,6759.810877186866,-33.59752968253986
2025-12-21,14:00-14:10,1.3689,6474.7834,4705.4039,0.0,369.11658769282894,294.8965833333334,0.0,0.0,0.0,9703.030062758295,369.11658769282894
2025-12-21,16:00-16:10,0.98,6007.344,1199.0528,853.690823212243,858.295888291608,801.3818666666666,0.0,0.0,-0.0,10800.0,4.6050650793649766
2025-12-21,18:00-18:10,1.2957,4292.4867,0.0,750.1095939804084,750.1095939804084,715.41445,0.0,0.0,-0.0,10800.0,0.0
2025-12-21,20:00-20:10,1.5137,4485.5154,0.0,0.0,0.0,0.0,0.0,0.0,747.5859,3931.006611628901,0.0
