日期,时段,实际结算电价_元每kWh,负荷_kW,光伏实际_kW,原计划合同_p_kWh,最终合同_q_kWh,实际购电_kWh,应急购电_u_kWh,充电量_kWh,放电量_kWh,槽末储电量_kWh,合同调整量_kWh
2025-03-20,10:00-10:10,0.948,6577.9956,6675.2481,0.0,0.0,0.0,0.0,16.20875000000001,0.0,1214.587875,0.0
2025-03-20,12:00-12:10,0.4519,5958.8116,8082.9395,549.7070480158729,549.7070480158729,476.57267896825374,0.0,830.5939956349205,0.0,6835.656859409284,0.0
2025-03-20,14:00-14:10,0.9351,6283.4823,6453.6137,0.0,0.0,0.0,0.0,28.355233333333217,0.0,10050.992279216101,0.0
2025-03-20,16:00-16:10,0.8767,6153.3743,2779.805,652.5934833165843,652.5934833165843,652.5934833165843,0.0,90.33193331658413,0.0,10520.50677823137,0.0
2025-03-20,18:00-18:10,1.2993,4187.9837,0.0,718.2056256349207,718.2056256349207,697.9972833333333,0.0,0.0,0.0,10379.89295111804,0.0
2025-03-20,20:00-20:10,1.2789,4586.0191,0.0,0.0,0.0,0.21284103174605207,0.21284103174605207,0.0,764.1236756349207,3102.6449952979337,0.0
2025-06-21,10:00-10:10,0.6702,3826.1041,6589.8893,0.0,0.0,0.0,0.0,424.1164076304915,0.0,5032.946750906494,0.0
2025-06-21,12:00-12:10,0.2473,3735.5415,8044.2631,0.0,0.0,0.0,0.0,0.0,0.0,9196.305435659226,0.0
2025-06-21,14:00-14:10,0.7993,4047.8905,5941.7978,0.0,0.0,0.0,0.0,0.0,0.0,10357.859855895831,0.0
2025-06-21,16:00-16:10,0.5744,4034.2858,3562.8565,203.53046744887342,203.53046744887342,118.37691555555546,0.0,39.805365555555454,0.0,10756.663386428572,0.0
2025-06-21,18:00-18:10,1.1314,3274.4828,860.3286,491.9353540658075,491.9353540658075,403.5510467460317,0.0,1.1920134126984294,0.0,10748.192960219576,0.0
2025-06-21,20:00-20:10,1.1611,3348.2366,0.0,0.0,0.0,0.0,0.0,0.0,558.0394333333334,3994.1739174956,0.0
2025-09-23,10:00-10:10,0.9839,6527.0912,6506.7574,0.0,0.0,1.1903724560754654,1.1903724560754654,0.0,2.1985942105911818,1362.5395751831502,0.0
2025-09-23,12:00-12:10,0.3481,5815.5593,8690.3915,362.9514988100515,362.9514988100515,312.036023412698,0.0,791.174723412698,0.0,7142.96836106691,0.0
2025-09-23,14:00-14:10,0.9422,6298.6605,6838.0168,0.0,0.0,0.0,0.0,0.0,0.0,10644.944351785714,0.0
2025-09-23,16:00-16:10,0.9325,6704.9712,3168.3753,609.392960162972,609.392960162972,609.3929601629721,1.1368683772161603e-13,19.96031016297229,0.0,10651.350492414385,0.0
2025-09-23,18:00-18:10,1.3273,4585.9791,0.0,0.0,0.0,0.0,0.0,0.0,764.3298499999999,9950.744611111111,0.0
2025-09-23,20:00-20:10,1.2687,4963.0687,0.0,0.0,0.0,23.61788492063488,23.61788492063488,0.0,803.5602317460317,2816.864686948854,0.0
2025-12-21,10:00-10:10,1.4027,6873.3728,4886.2111,0.0,0.0,0.0,0.0,0.0,368.9126927360526,2164.2770437252757,0.0
2025-12-21,12:00-12:10,0.6936,6501.863,5904.8948,979.2988148534243,979.2988148534243,932.8280333333332,0.0,833.3333333333333,0.0,7800.0,0.0
2025-12-21,14:00-14:10,1.3689,6474.7834,4705.4039,0.0,0.0,0.0,0.0,0.0,369.11658769282894,10021.895841838657,0.0
2025-12-21,16:00-16:10,0.98,6007.344,1199.0528,853.690823212243,853.690823212243,796.7768015873016,0.0,0.0,4.60506507936492,10485.28277871076,0.0
2025-12-21,18:00-18:10,1.2957,4292.4867,0.0,750.1095939804084,750.1095939804084,715.41445,0.0,0.0,0.0,10475.049300756615,0.0
2025-12-21,20:00-20:10,1.5137,4485.5154,0.0,0.0,0.0,0.0,0.0,0.0,747.5859,3752.361747946965,0.0
