日期,时间段,充电量_kWh,放电量_kWh,日初储电量_kWh,日末储电量_kWh
2025-03-20,0:00-4:00,0.0,0.0,10800.0,10795.241205
2025-03-20,4:00-8:00,0.0,5499.857461904762,10800.0,10795.241205
2025-03-20,8:00-12:00,5900.905397178129,3122.7215880952376,10800.0,10795.241205
2025-03-20,12:00-16:00,5283.310084891238,436.63549047619085,10800.0,10795.241205
2025-03-20,16:00-20:00,0.0,5388.594480952381,10800.0,10795.241205
2025-03-20,20:00-24:00,10252.913414138739,2920.5483,10800.0,10795.241205
2025-06-21,0:00-4:00,0.0,2482.6328823333342,10800.0,10800.0
2025-06-21,4:00-8:00,0.0,5366.656680952381,10800.0,10800.0
2025-06-21,8:00-12:00,6224.019873280425,0.0,10800.0,10800.0
2025-06-21,12:00-16:00,3482.9777333333336,13.378498071429249,10800.0,10800.0
2025-06-21,16:00-20:00,0.0,5234.588016666667,10800.0,10800.0
2025-06-21,20:00-24:00,9531.465925925926,2485.8993833333334,10800.0,10800.0
2025-09-23,0:00-4:00,0.0,0.0,10760.831685000001,10793.7735
2025-09-23,4:00-8:00,43.52034999999887,5804.354759071428,10760.831685000001,10793.7735
2025-09-23,8:00-12:00,5817.308085714288,2823.9444642857134,10760.831685000001,10793.7735
2025-09-23,12:00-16:00,5004.290258524395,178.42030061904856,10760.831685000001,10793.7735
2025-09-23,16:00-20:00,0.0,5602.909066666667,10760.831685000001,10793.7735
2025-09-23,20:00-24:00,10426.132138036446,2806.63695,10760.831685000001,10793.7735
2025-12-21,0:00-4:00,0.0,0.0,10756.52886,10800.0
2025-12-21,4:00-8:00,881.6345999999995,1508.3333333333333,10756.52886,10800.0
2025-12-21,8:00-12:00,5655.402969047618,7806.666666666667,10756.52886,10800.0
2025-12-21,12:00-16:00,8333.333333333332,2690.876404928573,10756.52886,10800.0
2025-12-21,16:00-20:00,0.0,5512.673945238096,10756.52886,10800.0
2025-12-21,20:00-24:00,10315.061372721928,2842.5257666666666,10756.52886,10800.0
