variant,date,month,adjusted,variable_price,risk_mode,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,contract_cost_yuan,emergency_cost_yuan,actual_load_kwh,actual_pv_kwh,pv_used_kwh,actual_effective_grid_kwh,emergency_slots,emergency_day,covered_slots,evaluated_slots,safe_net_coverage,pinball_sum_kw,pinball_mean_kw,source_issue_hours,S_none_cash_cost_yuan,S_none_emergency_kwh,release_set,allowed_issue_hours,saving_vs_S_none_yuan,emergency_reduction_vs_S_none_kwh
q3_info_S_none,2025-02-01,2,True,False,unclustered,90319.34288611115,86323.06990214577,56046.64653275542,58634.877783620264,0.0,40968.106623498556,9313.415405524845,8754.58915678446,7091.217216995413,10800.0,10800.0,4872.319314814817,10800.0,3.410605131648481e-13,56046.64653275542,0.0,76305.20628333333,41927.03034999999,32613.61494447515,45354.96327864722,0,0,144,144,1.0,61898.181750849006,429.84848438089585,"0,0,0,0",56046.64653275542,0.0,S_none,none,0.0,0.0
q3_info_S_none,2025-02-02,2,True,False,unclustered,93904.42126098895,90770.3856216505,58325.10566865774,60293.99265375285,0.0,8238.346786655304,59.174066666666704,21666.24641225543,17549.659593926903,10800.0,10800.0,1224.1274104937474,10800.0,2.2737367544323206e-13,58325.10566865774,0.0,121705.97265000001,43349.6947,43290.52063333333,82532.0388349952,0,0,132,144,0.9166666666666666,13420.987567430022,93.20130255159738,"0,0,0,0",58325.10566865774,0.0,S_none,none,0.0,0.0
q3_info_S_none,2025-02-03,2,True,False,unclustered,96963.71209588478,93254.71316573973,60390.09106972854,62696.90468276178,0.0,8981.933466051012,0.0,21346.648419414396,17290.785219725673,10800.0,10800.0,1282.83355245584,10800.0,2.2737367544323206e-13,60390.09106972854,0.0,122603.769,42386.85249999999,42386.85249999999,84272.77969968872,0,0,130,144,0.9027777777777778,14238.254162162428,98.87676501501686,"0,0,0,0",60390.09106972854,0.0,S_none,none,0.0,0.0
q3_info_S_none,2025-02-04,2,True,False,unclustered,99444.60762051937,95927.66291612867,64676.14749636761,67224.90107495966,344.79854467346394,10935.136089168738,0.3517833333332874,22136.622880632753,17994.513242332676,10800.0,10729.05698997762,1200.0,10800.0,2.2737367544323206e-13,62310.36328910249,2365.78420726512,121578.09884999998,40383.234899999996,40382.883116666664,85337.32537163341,3,1,122,144,0.8472222222222222,18052.26078675199,125.36292213022216,"0,0,0,0",64676.14749636761,344.79854467346394,S_none,none,0.0,0.0
q3_info_S_none,2025-02-05,2,True,False,unclustered,94164.0107187783,93132.58917625304,59808.81095551634,60686.9765511054,44.65193954643064,8094.9668370847685,2.052500000000009,22462.874138743366,18131.079343361984,10729.05698997762,10800.0,1200.0,10800.0,2.2737367544323206e-13,59497.31902524044,311.49193027590013,121991.08443333332,41242.65745,41240.60495,85082.2742787147,1,1,132,144,0.9166666666666666,12116.26452073659,84.14072583844853,"0,0,0,0",59808.81095551634,44.65193954643064,S_none,none,0.0,0.0
q3_info_S_none,2025-02-06,2,True,False,unclustered,100071.81127016462,95666.16689076199,64762.13307737687,67918.40608937641,359.6275743182685,11638.13665483608,1.400816666666742,21790.500327437083,17675.30055052624,10800.0,10772.227460775339,1200.0,10800.0,2.2737367544323206e-13,62338.15829852634,2423.9747788505438,122252.1627,41981.10548333333,41979.704666666665,84387.65781024417,4,1,118,144,0.8194444444444444,18957.752471033426,131.651058826621,"0,0,0,0",64762.13307737687,359.6275743182685,S_none,none,0.0,0.0
q3_info_S_none,2025-02-07,2,True,False,unclustered,91300.21543449056,85410.38743053179,55586.36669866821,59095.92744310382,0.0,40421.82809348877,11398.045768513104,9262.308508216056,7477.474606352809,10772.227460775339,10800.0,4700.647148148148,10800.0,3.410605131648481e-13,55586.36669866821,0.0,76168.59693333333,44362.91726666666,32964.87149815356,44988.55933704302,0,0,144,144,1.0,64334.12889586902,446.7647839990904,"0,0,0,0",55586.36669866821,0.0,S_none,none,0.0,0.0
q3_info_S_none,2025-02-08,2,True,False,unclustered,82188.54411020226,78819.36466205126,50392.51517346148,52489.13961771582,0.0,34558.9871053402,10916.278574600885,9299.664554965802,7532.7282895222925,10800.0,10800.0,4680.24522222222,10800.0,1.1368683772161603e-13,50392.51517346148,0.0,75746.78751666666,44169.624800000005,33253.34622539912,44260.37755671106,0,0,144,144,1.0,56599.57084898741,393.05257534019034,"0,0,0,0",50392.51517346148,0.0,S_none,none,0.0,0.0
q3_info_S_none,2025-02-09,2,True,False,unclustered,93897.7007212705,88532.69500723589,57994.94431267248,61193.093548782184,0.0,4867.3802601746975,0.0,21631.04621260282,17521.147432208287,10800.0,10800.0,1230.4976060915294,10800.0,2.2737367544323206e-13,57994.94431267248,0.0,121547.90356666665,41992.48759999999,41992.48759999999,83665.3147470612,0,0,122,144,0.8472222222222222,12092.693084574155,83.97703530954274,"0,0,0,0",57994.94431267248,0.0,S_none,none,0.0,0.0
q3_info_S_none,2025-02-10,2,True,False,unclustered,89346.23583524933,84335.95513056125,54704.502494917484,57692.34425996774,0.0,5954.888822196046,193.20466666666675,20322.2318861327,16461.007827767484,10800.0,10800.0,1319.484853837204,10800.0,2.2737367544323206e-13,54704.502494917484,0.0,121477.56451666665,47150.926933333336,46957.722266666664,78381.06630836522,0,0,126,144,0.875,12166.784886928079,84.49156171477833,"0,0,0,0",54704.502494917484,0.0,S_none,none,0.0,0.0
q3_info_S_none,2025-02-11,2,True,False,unclustered,90568.24391168027,88156.77404313427,62423.40928059391,64519.7436103635,879.1540041328051,9492.644401341342,243.45770000000016,21552.44259749524,17473.213784902837,10800.0,10782.516354520349,1200.0,10800.0,3.410605131648481e-13,56604.76639825962,5818.642882334282,121441.28161666666,46220.68448333333,45977.22678333333,79543.28364592574,8,1,115,144,0.7986111111111112,17531.234340954317,121.74468292329387,"0,0,0,0",62423.40928059391,879.1540041328051,S_none,none,0.0,0.0
