日期,时间段,充电量_kWh,放电量_kWh,日初储电量_kWh,日末储电量_kWh
2025-03-20,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-03-20,4:00-8:00,0.0,5970.862273859026,10800.0,10800.0
2025-03-20,8:00-12:00,907.3821974296559,2669.137726140973,10800.0,10800.0
2025-03-20,12:00-16:00,7219.16642854754,0.0,10800.0,10800.0
2025-03-20,16:00-20:00,452.29794181663794,4425.5058032463385,10800.0,10800.0
2025-03-20,20:00-24:00,10238.163888888888,2176.2726666666667,10800.0,10800.0
2025-06-21,0:00-4:00,0.0,5720.104071731703,10800.0,10800.0
2025-06-21,4:00-8:00,833.3333333333333,2486.6654695830803,10800.0,10800.0
2025-06-21,8:00-12:00,1523.1257529075328,0.0,10800.0,10800.0
2025-06-21,12:00-16:00,7097.234171740347,0.0,10800.0,10800.0
2025-06-21,16:00-20:00,99.55838138888919,5054.378978829569,10800.0,10800.0
2025-06-21,20:00-24:00,9887.548241466544,2485.8993833333334,10800.0,10800.0
2025-09-23,0:00-4:00,0.0,0.0,10789.875641237772,10800.0
2025-09-23,4:00-8:00,13.243306402476037,6136.583813471947,10789.875641237772,10800.0
2025-09-23,8:00-12:00,5240.634153887747,2318.6968035123,10789.875641237772,10800.0
2025-09-23,12:00-16:00,5513.012400393646,435.1957876537185,10789.875641237772,10800.0
2025-09-23,16:00-20:00,199.91724527777774,6382.543281759259,10789.875641237772,10800.0
2025-09-23,20:00-24:00,10350.569409004393,1984.9433678392631,10789.875641237772,10800.0
2025-12-21,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-12-21,4:00-8:00,0.0,833.6932097222218,10800.0,10800.0
2025-12-21,8:00-12:00,5274.941662658726,7408.093134259259,10800.0,10800.0
2025-12-21,12:00-16:00,6651.855468468219,2185.85219889801,10800.0,10800.0
2025-12-21,16:00-20:00,0.0,4559.093066666665,10800.0,10800.0
2025-12-21,20:00-24:00,10084.63172839506,2842.5257666666666,10800.0,10800.0
