日期,时间段,充电量_kWh,放电量_kWh,日初储电量_kWh,日末储电量_kWh
2025-03-20,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-03-20,4:00-8:00,0.0,5970.862273859026,10800.0,10800.0
2025-03-20,8:00-12:00,4267.413731256206,2669.137726140973,10800.0,10800.0
2025-03-20,12:00-16:00,6701.659427325184,244.94925845092487,10800.0,10800.0
2025-03-20,16:00-20:00,0.0,5226.077216666667,10800.0,10800.0
2025-03-20,20:00-24:00,10069.498395061726,2930.2164833333336,10800.0,10800.0
2025-06-21,0:00-4:00,0.0,2066.1444575983496,10800.0,10800.0
2025-06-21,4:00-8:00,0.0,5649.09246958308,10800.0,10800.0
2025-06-21,8:00-12:00,2074.338349718205,0.0,10800.0,10800.0
2025-06-21,12:00-16:00,7097.234171740347,0.0,10800.0,10800.0
2025-06-21,16:00-20:00,99.53179638888929,4836.134338826792,10800.0,10800.0
2025-06-21,20:00-24:00,9293.427348006328,2485.8993833333334,10800.0,10800.0
2025-09-23,0:00-4:00,0.0,0.0,10789.875641237772,10800.0
2025-09-23,4:00-8:00,11.249287513587205,6321.303196487701,10789.875641237772,10800.0
2025-09-23,8:00-12:00,5694.80147801213,2318.6968035123,10789.875641237772,10800.0
2025-09-23,12:00-16:00,5509.143938844311,435.1957876537185,10789.875641237772,10800.0
2025-09-23,16:00-20:00,0.0,5602.909066666667,10789.875641237772,10800.0
2025-09-23,20:00-24:00,10357.067569025148,2786.315664243706,10789.875641237772,10800.0
2025-12-21,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-12-21,4:00-8:00,833.229704074074,1508.5857493518515,10800.0,10800.0
2025-12-21,8:00-12:00,5454.6741059050155,7667.374522225927,10800.0,10800.0
2025-12-21,12:00-16:00,7643.44428276406,2108.4316835441737,10800.0,10800.0
2025-12-21,16:00-20:00,0.0,5171.856949999999,10800.0,10800.0
2025-12-21,20:00-24:00,9894.299650205761,2842.5257666666666,10800.0,10800.0
