日期,时间段,充电量_kWh,放电量_kWh,日初储电量_kWh,日末储电量_kWh
2025-03-20,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-03-20,4:00-8:00,0.0,6154.484603595134,10800.0,10800.0
2025-03-20,8:00-12:00,3970.5802654503814,2485.515396404866,10800.0,10800.0
2025-03-20,12:00-16:00,6708.7543586663405,328.09295333333296,10800.0,10800.0
2025-03-20,16:00-20:00,43.55574760171726,5887.932376012571,10800.0,10800.0
2025-03-20,20:00-24:00,10304.375251714675,2176.059825634921,10800.0,10800.0
2025-06-21,0:00-4:00,0.0,5988.17435273479,10800.0,10800.0
2025-06-21,4:00-8:00,1024.400527802578,2600.3150145184163,10800.0,10800.0
2025-06-21,8:00-12:00,7796.789915835086,0.0,10800.0,10800.0
2025-06-21,12:00-16:00,1791.2449999490673,7.583342052048124,10800.0,10800.0
2025-06-21,16:00-20:00,0.961897301587328,5523.785988984913,10800.0,10800.0
2025-06-21,20:00-24:00,9887.538562350568,2485.8993833333334,10800.0,10800.0
2025-09-23,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-09-23,4:00-8:00,0.0,6583.211554949683,10800.0,10800.0
2025-09-23,8:00-12:00,5613.543123208419,2049.7767810946907,10800.0,10800.0
2025-09-23,12:00-16:00,5447.385717893336,388.7923547619049,10800.0,10800.0
2025-09-23,16:00-20:00,0.0,6337.943462232703,10800.0,10800.0
2025-09-23,20:00-24:00,10397.648261218237,2021.7232998402126,10800.0,10800.0
2025-12-21,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-12-21,4:00-8:00,0.0,833.3333333333333,10800.0,10800.0
2025-12-21,8:00-12:00,5218.330510819034,7704.684590961906,10800.0,10800.0
2025-12-21,12:00-16:00,6596.94730308628,1032.3571049680643,10800.0,10800.0
2025-12-21,16:00-20:00,0.0,5434.508149533989,10800.0,10800.0
2025-12-21,20:00-24:00,10218.560390371178,2842.5257666666666,10800.0,10800.0
