日期,时段,电价_元每kWh,负荷_kW,光伏实际_kW,合同购电_p_kWh,实际购电_kWh,应急购电_u_kWh,充电量_kWh,放电量_kWh,槽末储电量_kWh
2025-03-20,10:00-10:10,0.9919,6577.9956,6675.2481,0.0,0.0,0.0,0.0,52.22053571428569,1274.630693121694
2025-03-20,12:00-12:10,0.4411,5958.8116,8082.9395,622.1127690476189,479.3120166666665,0.0,833.3333333333333,0.0,7280.171468571429
2025-03-20,14:00-14:10,1.0002,6283.4823,6453.6137,0.0,0.0,0.0,0.0,8.642842857143023,10647.391662698414
2025-03-20,16:00-16:10,0.8271,6153.3743,2779.805,505.04563809523825,562.2615500000002,57.21591190476187,0.0,-0.0,10800.0
2025-03-20,18:00-18:10,1.2561,4187.9837,0.0,713.8812261904761,697.9972833333333,0.0,0.0,-0.0,10800.0
2025-03-20,20:00-20:10,1.3513,4586.0191,0.0,0.0,5.395900000000097,5.395900000000097,0.0,758.9406166666666,3969.4054470899487
2025-06-21,10:00-10:10,0.9919,3826.1041,6589.8893,0.0,0.0,0.0,273.7732928571427,0.0,4164.558872142856
2025-06-21,12:00-12:10,0.4411,3735.5415,8044.2631,0.0,0.0,0.0,335.5265785714287,0.0,7982.158958571426
2025-06-21,14:00-14:10,1.0002,4047.8905,5941.7978,0.0,0.0,0.0,128.7715452380951,0.0,10532.626692857142
2025-06-21,16:00-16:10,0.8271,4034.2858,3562.8565,258.5396476190476,78.57155,0.0,0.0,-0.0,10800.0
2025-06-21,18:00-18:10,1.2561,3274.4828,860.3286,56.77782380952294,0.0,0.0,0.0,457.0439333333341,10292.173407407407
2025-06-21,20:00-20:10,1.3513,3348.2366,0.0,0.0,0.0,0.0,0.0,558.0394333333334,4363.747277777777
2025-09-23,10:00-10:10,0.9919,6527.0912,6506.7574,0.0,3.388966666666647,3.388966666666647,0.0,0.0,1213.000862936509
2025-09-23,12:00-12:10,0.4411,5815.5593,8690.3915,538.7502904761902,354.1946333333335,0.0,833.3333333333333,0.0,7198.5781400793685
2025-09-23,14:00-14:10,1.0002,6298.6605,6838.0168,0.0,0.0,0.0,81.57219999999984,0.0,10712.551500793652
2025-09-23,16:00-16:10,0.8271,6704.9712,3168.3753,583.2723809523808,589.4326499999999,6.160269047619067,0.0,0.0,10754.194594285715
2025-09-23,18:00-18:10,1.2561,4585.9791,0.0,785.9417642857144,764.3298499999999,0.0,0.0,-0.0,10754.194594285715
2025-09-23,20:00-20:10,1.3513,4963.0687,0.0,0.0,11.74249999999995,11.74249999999995,0.0,815.4356166666666,3622.7005016931225
2025-12-21,10:00-10:10,0.9919,6873.3728,4886.2111,0.0,0.0,0.0,0.0,481.0219285714287,1576.1921693121694
2025-12-21,12:00-12:10,0.4411,6501.863,5904.8948,1012.3693428571429,932.8280333333332,0.0,833.3333333333333,0.0,7039.862672142857
2025-12-21,14:00-14:10,1.0002,6474.7834,4705.4039,0.0,0.0,0.0,0.0,415.4346357142856,9170.864399656086
2025-12-21,16:00-16:10,0.8271,6007.344,1199.0528,851.7486023809521,801.3818666666666,0.0,0.0,-0.0,10800.0
2025-12-21,18:00-18:10,1.2561,4292.4867,0.0,750.7874833333334,715.41445,0.0,0.0,-0.0,10800.0
2025-12-21,20:00-20:10,1.3513,4485.5154,0.0,0.0,0.0,0.0,0.0,747.5859,3844.1557275132263
