日期,时段,实际结算电价_元每kWh,负荷_kW,光伏实际_kW,原计划合同_p_kWh,最终合同_q_kWh,实际购电_kWh,应急购电_u_kWh,充电量_kWh,放电量_kWh,槽末储电量_kWh,合同调整量_kWh
2025-03-20,10:00-10:10,0.948,6577.9956,6675.2481,0.0,0.0,0.0,0.0,6.533828090769248,0.0,1205.880445281693,0.0
2025-03-20,12:00-12:10,0.4519,5958.8116,8082.9395,578.9147950000001,567.5184936111111,479.31201666666766,0.0,833.3333333333343,0.0,5790.672358130588,-11.396301388889015
2025-03-20,14:00-14:10,0.9351,6283.4823,6453.6137,0.0,0.0,0.0,0.0,22.87490342592605,0.0,9156.405883777228,0.0
2025-03-20,16:00-16:10,0.8767,6153.3743,2779.805,670.425742279601,552.9281579277491,562.2615500000002,9.333392072251002,0.0,-0.0,10800.0,-117.49758435185186
2025-03-20,18:00-18:10,1.2993,4187.9837,0.0,733.31475,733.31475,697.9972833333333,0.0,0.0,0.0,10567.82661111111,0.0
2025-03-20,20:00-20:10,1.2789,4586.0191,0.0,0.0,0.0,0.0,0.0,0.0,764.3365166666667,3272.238092592592,0.0
2025-06-21,10:00-10:10,0.6702,3826.1041,6589.8893,0.0,0.0,0.0,0.0,0.0,0.0,2431.3671763169064,0.0
2025-06-21,12:00-12:10,0.2473,3735.5415,8044.2631,0.0,0.0,0.0,0.0,586.234824041692,0.0,4622.030381737874,0.0
2025-06-21,14:00-14:10,0.7993,4047.8905,5941.7978,0.0,0.0,0.0,0.0,201.681819332342,0.0,9506.996096399735,0.0
2025-06-21,16:00-16:10,0.5744,4034.2858,3562.8565,242.08061838713832,242.08061838713832,114.64493101851849,0.0,36.07338101851849,0.0,10514.395837583335,0.0
2025-06-21,18:00-18:10,1.1314,3274.4828,860.3286,532.6641924397895,532.6641924397895,402.4453855555556,0.0,0.08635222222233097,0.0,10571.400830416667,0.0
2025-06-21,20:00-20:10,1.1611,3348.2366,0.0,0.0,0.0,0.0,0.0,0.0,558.0394333333334,4577.981997905416,0.0
2025-09-23,10:00-10:10,0.9839,6527.0912,6506.7574,0.0,0.0,0.0,0.0,0.0,23.440819537037214,1200.0000000000007,0.0
2025-09-23,12:00-12:10,0.3481,5815.5593,8690.3915,380.9003701081457,380.9003701081456,311.33104629629634,0.0,790.4697462962961,0.0,7036.744101877584,-1.1368683772161603e-13
2025-09-23,14:00-14:10,0.9422,6298.6605,6838.0168,0.0,0.0,0.0,0.0,89.08900841765922,0.0,10775.189144848215,0.0
2025-09-23,16:00-16:10,0.9325,6704.9712,3168.3753,629.4349165740741,587.1579294444444,589.4326499999999,2.2747205555554046,0.0,-0.0,10800.0,-42.276987129629674
2025-09-23,18:00-18:10,1.3273,4585.9791,0.0,0.0,2.19725444444407,0.0,0.0,0.0,764.3298499999999,9950.744611111111,2.19725444444407
2025-09-23,20:00-20:10,1.2687,4963.0687,0.0,0.0,0.0,3.1346416583998007,3.1346416583998007,0.0,824.0434750082668,2792.681381369416,0.0
2025-12-21,10:00-10:10,1.4027,6873.3728,4886.2111,0.0,0.0,0.0,0.0,0.0,406.13302144713225,1726.913007342694,0.0
2025-12-21,12:00-12:10,0.6936,6501.863,5904.8948,998.5135950766198,975.6473357247679,932.8280333333332,0.0,833.3333333333333,0.0,7026.368049900882,-22.86625935185191
2025-12-21,14:00-14:10,1.3689,6474.7834,4705.4039,0.0,399.71023583333306,294.8965833333334,0.0,0.0,0.0,9929.713370900881,399.71023583333306
2025-12-21,16:00-16:10,0.98,6007.344,1199.0528,886.5573855212064,894.9060072804656,801.3818666666666,0.0,0.0,-0.0,10800.0,8.348621759259231
2025-12-21,18:00-18:10,1.2957,4292.4867,0.0,779.9318438729161,779.9318438729161,715.41445,0.0,0.0,-0.0,10800.0,0.0
2025-12-21,20:00-20:10,1.5137,4485.5154,0.0,0.0,0.0,0.0,0.0,0.0,747.5859,4249.691530229165,0.0
