日期,时间段,充电量_kWh,放电量_kWh,日初储电量_kWh,日末储电量_kWh
2025-03-20,0:00-4:00,0.0,0.0,10800.0,10800.0
2025-03-20,4:00-8:00,0.0,5112.271183333335,10800.0,10800.0
2025-03-20,8:00-12:00,5856.072154791298,3505.9762261904752,10800.0,10800.0
2025-03-20,12:00-16:00,5545.404282598471,616.948504761905,10800.0,10800.0
2025-03-20,16:00-20:00,0.0,5335.422590476188,10800.0,10800.0
2025-03-20,20:00-24:00,10201.281675485006,2927.615566666667,10800.0,10800.0
2025-06-21,0:00-4:00,0.0,1019.3114491666677,10800.0,10800.0
2025-06-21,4:00-8:00,16.58083333333309,5106.257949999999,10800.0,10800.0
2025-06-21,8:00-12:00,5270.2113260435035,0.0,10800.0,10800.0
2025-06-21,12:00-16:00,2288.9415256613765,10.774885714285688,10800.0,10800.0
2025-06-21,16:00-20:00,0.0,4823.479769047619,10800.0,10800.0
2025-06-21,20:00-24:00,9023.924879482656,2485.8993833333334,10800.0,10800.0
2025-09-23,0:00-4:00,0.0,0.0,10784.19384,10800.0
2025-09-23,4:00-8:00,17.56240000000014,5526.442947642859,10784.19384,10800.0
2025-09-23,8:00-12:00,6047.837281687243,3082.599230952379,10784.19384,10800.0
2025-09-23,12:00-16:00,4894.1967022633735,275.1482576904774,10784.19384,10800.0
2025-09-23,16:00-20:00,0.0,5602.909066666667,10784.19384,10800.0
2025-09-23,20:00-24:00,10384.385505291002,2787.300283333333,10784.19384,10800.0
2025-12-21,0:00-4:00,0.0,0.0,10774.27161,10800.0
2025-12-21,4:00-8:00,861.9204333333333,1508.3333333333333,10774.27161,10800.0
2025-12-21,8:00-12:00,5716.963014285713,7806.666666666667,10774.27161,10800.0
2025-12-21,12:00-16:00,8333.333333333332,2740.7400415714287,10774.27161,10800.0
2025-12-21,16:00-20:00,0.0,5418.649949999997,10774.27161,10800.0
2025-12-21,20:00-24:00,10198.982366255139,2842.5257666666666,10774.27161,10800.0
