variable,month,unit,count,missing,minimum,q25,median,q75,maximum,mean,std,tukey_outlier_count,outlier_action
actual_load,1,kW,4464,0,2211.69,3644.7681249999996,4286.383,6311.4243,7546.7527,4725.773469153226,1450.4482429213633,0,retain physical nonnegative observations
actual_load,2,kW,4032,0,2055.4315,3432.946725,4103.505,6108.96075,7370.8801,4516.8965253224205,1422.8705517656338,0,retain physical nonnegative observations
actual_load,3,kW,4464,0,2081.95,3363.3185,3797.03385,6041.437475000001,6925.7674,4355.698995407706,1381.1863203185196,0,retain physical nonnegative observations
actual_load,4,kW,4320,0,2105.39,3381.9584999999997,3874.1182,6069.81235,6958.0721,4392.976799050925,1373.351587807305,0,retain physical nonnegative observations
actual_load,5,kW,4464,0,2159.52,3426.198675,3766.83135,6048.142175,6978.6702,4401.6777526881715,1355.432617102718,0,retain physical nonnegative observations
actual_load,6,kW,4320,0,2466.7341,3731.749175,4306.317950000001,6355.980425,7491.4643,4800.372629444444,1338.635192205265,0,retain physical nonnegative observations
actual_load,7,kW,4464,0,2758.4698,4267.710125,4885.5727,6791.835,7978.8849,5337.258656070789,1334.988423651707,0,retain physical nonnegative observations
actual_load,8,kW,4464,0,2436.84,4022.021875,4540.8288,6531.8035500000005,7936.3951,5045.177050336021,1340.9661971971282,0,retain physical nonnegative observations
actual_load,9,kW,4320,0,2258.3025,3499.1569,3921.73,6146.8297,6989.0914,4535.910432824075,1348.7515045049504,0,retain physical nonnegative observations
actual_load,10,kW,4464,0,1995.7176,3351.287025,3789.2069,6028.6152999999995,6988.0408,4347.019491330645,1376.7763753350664,0,retain physical nonnegative observations
actual_load,11,kW,4320,0,2052.41,3344.6809749999998,3771.855,6039.371175,7006.888,4337.6713466898145,1382.2421351046116,0,retain physical nonnegative observations
actual_load,12,kW,4464,0,2142.6309,3606.274875,4247.86135,6249.494175,7507.0588,4691.305896191756,1437.2750343526911,0,retain physical nonnegative observations
actual_pv,1,kW,4464,0,0.0,0.0,0.0,3423.803675,7159.125,1589.1838943548387,2247.005762845217,0,retain physical nonnegative observations
actual_pv,2,kW,4032,0,0.0,0.0,0.0021000000000000003,4299.241725,8445.2427,1966.4803466517858,2655.8100478970323,0,retain physical nonnegative observations
actual_pv,3,kW,4464,0,0.0,0.0,3.95585,5031.274775,9127.0875,2304.1967555331544,2932.306787462628,0,retain physical nonnegative observations
actual_pv,4,kW,4320,0,0.0,0.0,516.2003500000001,5837.1076,10216.2,2701.685689328704,3231.345427908552,0,retain physical nonnegative observations
actual_pv,5,kW,4464,0,0.0,0.0,1032.7687500000002,6035.37865,9923.7033,2806.502396550179,3203.6408582389176,0,retain physical nonnegative observations
actual_pv,6,kW,4320,0,0.0,0.0,1042.32195,4926.677475,8626.2441,2369.8265653009257,2662.3318362498767,0,retain physical nonnegative observations
actual_pv,7,kW,4464,0,0.0,0.0,1081.85625,5735.726925000001,9752.2309,2723.254275,3095.4641806850786,0,retain physical nonnegative observations
actual_pv,8,kW,4464,0,0.0,0.0,760.8612,6280.737375,10057.9095,2915.9930929883517,3427.8775180629223,0,retain physical nonnegative observations
actual_pv,9,kW,4320,0,0.0,0.0,86.175,5702.852425,10105.3207,2607.5995060879627,3250.9777151989715,0,retain physical nonnegative observations
actual_pv,10,kW,4464,0,0.0,0.0,0.02965,5110.159775,10076.8909,2364.313051769713,3142.702945243983,0,retain physical nonnegative observations
actual_pv,11,kW,4320,0,0.0,0.0,0.0,4009.940625,8212.6875,1854.376335601852,2591.7628000575123,0,retain physical nonnegative observations
actual_pv,12,kW,4464,0,0.0,0.0,0.0,3285.346075,6856.3368,1513.8368958781361,2168.2665357426254,0,retain physical nonnegative observations
actual_price,1,yuan/kWh,4464,0,0.2432,0.478,0.85965,1.149325,1.6401,0.8596107750896057,0.37446041057586654,0,retain physical nonnegative observations
actual_price,2,yuan/kWh,4032,0,0.2247,0.447975,0.77595,1.0403,1.447,0.7695711805555556,0.32002048979198433,0,retain physical nonnegative observations
actual_price,3,yuan/kWh,4464,0,0.0913,0.4306,0.71465,0.9787250000000001,1.3583,0.7255331989247312,0.31461304563804254,0,retain physical nonnegative observations
actual_price,4,yuan/kWh,4320,0,0.0076,0.4294,0.65265,0.932525,1.3932,0.6988464120370371,0.3065227092307576,0,retain physical nonnegative observations
actual_price,5,yuan/kWh,4464,0,0.0389,0.43235,0.6347,0.912475,1.4134,0.6912003360215054,0.30781864461490527,0,retain physical nonnegative observations
actual_price,6,yuan/kWh,4320,0,0.1708,0.4774,0.7357,1.019825,1.4509,0.7662756712962964,0.31558148279870446,0,retain physical nonnegative observations
actual_price,7,yuan/kWh,4464,0,0.1337,0.5238,0.76385,1.07945,1.7936,0.8300811827956989,0.36652628048069025,0,retain physical nonnegative observations
actual_price,8,yuan/kWh,4464,0,0.0665,0.494275,0.69245,1.0283,1.7686,0.7864659722222223,0.3691209042673015,0,retain physical nonnegative observations
actual_price,9,yuan/kWh,4320,0,0.0376,0.436975,0.6864,0.96215,1.4221,0.7202801851851851,0.32099949917891435,0,retain physical nonnegative observations
actual_price,10,yuan/kWh,4464,0,0.039,0.4287,0.72,0.9699249999999999,1.3793,0.7202710573476703,0.31772288457796855,0,retain physical nonnegative observations
actual_price,11,yuan/kWh,4320,0,0.2088,0.437975,0.77395,1.0388,1.4244,0.7610268287037036,0.3244579042776986,0,retain physical nonnegative observations
actual_price,12,yuan/kWh,4464,0,0.2354,0.4731,0.87665,1.158525,1.6698,0.8617168234767025,0.3760016339804245,0,retain physical nonnegative observations
