date,slot,base_contract_kwh,risk_reserve_kwh,contract_kwh,actual_load_kw,actual_pv_kw,pv_to_load_kwh,contract_to_load_kwh,pv_to_charge_kwh,contract_to_charge_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_contract_kwh,soc_start_kwh,soc_end_kwh,cash_cost_yuan
2025-02-01,1,454.3254333333333,32.92990000000001,487.25533333333334,2532.1822,0.0,0.0,422.0303666666667,0.0,0.0,0.0,0.0,0.0,65.22496666666666,10800.0,10800.0,206.98606560000002
2025-02-01,2,446.6726833333333,21.443516666666632,468.11619999999994,2492.4439,0.0,0.0,415.4073166666667,0.0,0.0,0.0,0.0,0.0,52.70888333333323,10800.0,10800.0,198.71532689999998
2025-02-01,3,443.3066666666667,24.564999999999976,467.87166666666667,2464.3,0.0,0.0,410.7166666666667,0.0,0.0,0.0,0.0,0.0,57.15499999999997,10800.0,10800.0,199.7344145
2025-02-01,4,476.9869166666666,41.44878333333334,518.4357,2581.7688,0.0,0.0,430.29479999999995,0.0,0.0,0.0,0.0,0.0,88.14090000000004,10800.0,10800.0,221.47573104
2025-02-01,5,484.26815,35.53623333333333,519.8043833333334,2546.4635,0.0,0.0,424.4105833333333,0.0,0.0,0.0,0.0,0.0,95.39380000000006,10800.0,10800.0,222.00845212166666
2025-02-01,6,468.2083333333333,51.78166666666667,519.99,2436.31,0.0,0.0,406.0516666666666,0.0,0.0,0.0,0.0,0.0,113.93833333333339,10800.0,10800.0,222.815715
2025-02-01,7,490.43896666666666,27.951550000000072,518.3905166666667,2620.5011,0.0,0.0,436.7501833333333,0.0,0.0,0.0,0.0,0.0,81.64033333333339,10800.0,10800.0,223.478151735
2025-02-01,8,487.2113166666666,39.29586666666667,526.5071833333333,2710.7861,0.0,0.0,451.7976833333333,0.0,0.0,0.0,0.0,0.0,74.70949999999999,10800.0,10800.0,226.50339026999998
2025-02-01,9,464.605,34.35666666666672,498.96166666666676,2676.48,0.0,0.0,446.08,0.0,0.0,0.0,0.0,0.0,52.881666666666774,10800.0,10800.0,213.50569716666672
2025-02-01,10,494.27239999999995,43.49141666666666,537.7638166666666,2830.598,0.0,0.0,471.7663333333333,0.0,0.0,0.0,0.0,0.0,65.99748333333326,10800.0,10800.0,231.88375774666665
2025-02-01,11,505.68944999999997,36.02753333333332,541.7169833333332,2688.1558,0.0,0.0,448.02596666666665,0.0,0.0,0.0,0.0,0.0,93.6910166666666,10800.0,10800.0,234.7259688783333
2025-02-01,12,487.83666666666664,51.32999999999993,539.1666666666665,2384.42,0.0,0.0,397.4033333333333,0.0,0.0,0.0,0.0,0.0,141.7633333333332,10800.0,10800.0,232.43474999999992
