variant,date,interval,emergency_kwh
q2,2025-03-20,无,0.0
q2,2025-06-21,无,0.0
q2,2025-09-23,08:40-08:50,76.67123386939303
q2,2025-09-23,08:50-09:00,103.28666666666652
q2,2025-09-23,09:00-09:10,88.53053333333332
q2,2025-09-23,09:10-09:20,75.39373333333333
q2,2025-09-23,09:20-09:30,46.359583333333376
q2,2025-09-23,09:30-09:40,34.0806666666665
q2,2025-09-23,09:40-09:50,13.978433333333214
q2,2025-09-23,20:30-20:40,618.1136555998821
q2,2025-12-21,20:30-20:40,471.2347913433131
q2,2025-12-21,20:40-20:50,1.552025113647801
q3,2025-03-20,无,0.0
q3,2025-06-21,无,0.0
q3,2025-09-23,无,0.0
q3,2025-12-21,07:50-08:00,26.292742270150484
q3,2025-12-21,10:10-10:20,195.3859484652994
q3,2025-12-21,10:20-10:30,35.08032470044873
q3,2025-12-21,10:30-10:40,349.0794999999998
q3,2025-12-21,10:40-10:50,83.68522119124646
q3,2025-12-21,20:30-20:40,386.6713702701748
q3,2025-12-21,20:40-20:50,1.552025113647801
q4_2,2025-03-20,无,0.0
q4_2,2025-06-21,无,0.0
q4_2,2025-09-23,08:30-08:40,219.5551544907315
q4_2,2025-09-23,08:40-08:50,177.01698333333331
q4_2,2025-09-23,08:50-09:00,103.28666666666652
q4_2,2025-09-23,09:00-09:10,88.53053333333332
q4_2,2025-09-23,09:10-09:20,75.39373333333333
q4_2,2025-09-23,09:20-09:30,46.359583333333376
q4_2,2025-09-23,09:30-09:40,34.0806666666665
q4_2,2025-09-23,09:40-09:50,13.978433333333214
q4_2,2025-09-23,20:30-20:40,273.26347975806607
q4_2,2025-12-21,20:30-20:40,471.2347913433131
q4_2,2025-12-21,20:40-20:50,1.552025113647801
q4_3,2025-03-20,无,0.0
q4_3,2025-06-21,无,0.0
q4_3,2025-09-23,无,0.0
q4_3,2025-12-21,07:50-08:00,26.292742270150484
q4_3,2025-12-21,10:00-10:10,228.09752103113624
q4_3,2025-12-21,10:10-10:20,13.465828321218396
q4_3,2025-12-21,10:20-10:30,35.08032470044873
q4_3,2025-12-21,10:30-10:40,349.0794999999998
q4_3,2025-12-21,10:40-10:50,17.154156692793094
q4_3,2025-12-21,20:30-20:40,386.6713702701748
q4_3,2025-12-21,20:40-20:50,1.552025113647801
