variant,date,issue_hour,slot,purchase_kwh
q3,2025-03-20,0,1,579.8216987696785
q3,2025-03-20,0,2,575.0665562607018
q3,2025-03-20,0,3,578.6310722559107
q3,2025-03-20,0,4,579.6019364876507
q3,2025-03-20,0,5,588.2541134605444
q3,2025-03-20,0,6,601.4352178724959
q3,2025-03-20,0,7,599.0453758902717
q3,2025-03-20,0,8,595.0573422990533
q3,2025-03-20,0,9,597.4894475797303
q3,2025-03-20,0,10,598.4626951528039
q3,2025-03-20,0,11,600.3041431620965
q3,2025-03-20,0,12,601.9996368508143
q3,2025-03-20,0,13,606.2075124825606
q3,2025-03-20,0,14,608.2384184138473
q3,2025-03-20,0,15,605.4019718026175
q3,2025-03-20,0,16,603.1529631166054
q3,2025-03-20,0,17,606.6167511531621
q3,2025-03-20,0,18,620.5913377555474
q3,2025-03-20,0,19,616.7640427832448
q3,2025-03-20,0,20,615.3022054384596
q3,2025-03-20,0,21,626.3944615556726
q3,2025-03-20,0,22,623.1302929690407
q3,2025-03-20,0,23,624.662700671648
q3,2025-03-20,0,24,638.0288600854178
q3,2025-03-20,0,25,641.5269561839866
q3,2025-03-20,0,26,643.9533027499331
q3,2025-03-20,0,27,641.8592157594502
q3,2025-03-20,0,28,639.7066739527904
q3,2025-03-20,0,29,638.9991161478347
q3,2025-03-20,0,30,634.8478603803903
q3,2025-03-20,0,31,636.0819560234258
q3,2025-03-20,0,32,639.0146206429017
q3,2025-03-20,0,33,644.960400064835
q3,2025-03-20,0,34,622.0825013882903
q3,2025-03-20,0,35,704.4737671175892
q3,2025-03-20,0,36,7.548580855542241
q3,2025-03-20,0,37,0.0
q3,2025-03-20,0,38,0.0
q3,2025-03-20,0,39,0.0
q3,2025-03-20,0,40,0.0
q3,2025-03-20,0,41,0.0
q3,2025-03-20,0,42,0.0
q3,2025-03-20,0,43,47.073601839585706
q3,2025-03-20,0,44,447.8091522550326
q3,2025-03-20,0,45,382.4602131621127
q3,2025-03-20,0,46,297.65371265910545
