variant,date,interval,emergency_kwh
q2,2025-03-20,00:20-00:30,1.9400000000000546
q2,2025-03-20,01:00-01:10,29.81305000000009
q2,2025-03-20,01:10-01:20,45.993033333333415
q2,2025-03-20,01:20-01:30,43.6733333333334
q2,2025-03-20,01:30-01:40,6.81158333333326
q2,2025-03-20,03:10-03:20,29.492166666666662
q2,2025-03-20,03:20-03:30,16.231666666666683
q2,2025-03-20,03:30-03:40,5.3517333333333
q2,2025-03-20,03:40-03:50,17.534383333333267
q2,2025-03-20,03:50-04:00,12.783333333333417
q2,2025-03-20,05:10-05:20,1.1530333333332692
q2,2025-03-20,08:10-08:20,51.99341904761911
q2,2025-03-20,08:20-08:30,38.204464285714266
q2,2025-03-20,15:10-15:20,1.1840452380952229
q2,2025-03-20,15:20-15:30,11.794345238095161
q2,2025-03-20,15:30-15:40,8.784528571428496
q2,2025-03-20,15:40-15:50,34.343773809523896
q2,2025-03-20,15:50-16:00,76.02720238095242
q2,2025-03-20,16:00-16:10,67.23435714285705
q2,2025-03-20,16:10-16:20,28.27166190476214
q2,2025-03-20,16:20-16:30,6.229404761904846
q2,2025-03-20,16:30-16:40,8.492769047619163
q2,2025-03-20,16:40-16:50,13.255854761904743
q2,2025-03-20,18:50-19:00,48.386666666666656
q2,2025-03-20,19:00-19:10,10.877183333333278
q2,2025-03-20,20:00-20:10,21.01825000000008
q2,2025-03-20,20:10-20:20,22.318366666666634
q2,2025-03-20,20:20-20:30,3.3333333333333712
q2,2025-03-20,21:10-21:20,10.986899999999878
q2,2025-03-20,21:20-21:30,8.46333333333348
q2,2025-03-20,21:30-21:40,14.517866666666691
q2,2025-06-21,01:20-01:30,1.6983333333332666
q2,2025-06-21,01:50-02:00,1.2433333333333394
q2,2025-06-21,02:20-02:30,9.356666666666683
q2,2025-06-21,02:50-03:00,38.24999999999998
q2,2025-06-21,03:00-03:10,25.446588095238162
q2,2025-06-21,03:10-03:20,20.74154999999996
q2,2025-06-21,04:00-04:10,39.549290476190535
q2,2025-06-21,04:10-04:20,24.449600000000032
q2,2025-06-21,04:40-04:50,10.183449999999993
q2,2025-06-21,04:50-05:00,16.405595238095238
q2,2025-06-21,05:00-05:10,1.365433333333268
q2,2025-06-21,05:10-05:20,11.912514285714273
q2,2025-06-21,05:40-05:50,17.527945238095214
q2,2025-06-21,05:50-06:00,27.697499999999934
q2,2025-06-21,18:50-19:00,28.851249999999983
q2,2025-06-21,19:00-19:10,32.99429999999995
